id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	CD4+ Memory|CD4+ Memory	CD4+ Memory|Enterocytes	CD4+ Memory|Macrophages	CD4+ Memory|Plasma	CD4+ Memory|WNT2B+ Fos-hi	Enterocytes|CD4+ Memory	Enterocytes|Enterocytes	Enterocytes|Macrophages	Enterocytes|Plasma	Enterocytes|WNT2B+ Fos-hi	Macrophages|CD4+ Memory	Macrophages|Enterocytes	Macrophages|Macrophages	Macrophages|Plasma	Macrophages|WNT2B+ Fos-hi	Plasma|CD4+ Memory	Plasma|Enterocytes	Plasma|Macrophages	Plasma|Plasma	Plasma|WNT2B+ Fos-hi	WNT2B+ Fos-hi|CD4+ Memory	WNT2B+ Fos-hi|Enterocytes	WNT2B+ Fos-hi|Macrophages	WNT2B+ Fos-hi|Plasma	WNT2B+ Fos-hi|WNT2B+ Fos-hi
CPI-SS028784FC6	HLA-DPA1_TNFSF9	simple:HLADPA1	simple:P41273	HLA-DPA1	TNFSF9	True	True	False	InnateDB-All	False	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.995	0.0	0.0	0.0	0.0	9.571	0.0	0.0	0.0	0.0	0.385	0.0	0.0	0.0	0.0	0.132	0.0
CPI-SS00A8596B5	PVR_TNFSF9	simple:P15151	simple:P41273	PVR	TNFSF9	True	True	False	InnateDB-All	False	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.045	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.016	0.0
CPI-SS072B19293	HLA-DPA1_GAL	simple:HLADPA1	simple:P22466	HLA-DPA1	GAL	True	True	False	InnateDB-All	False	0.059	0.111	0.0	0.06	0.0	0.995	1.047	0.0	0.995	0.0	9.57	9.622	0.0	9.571	0.0	0.385	0.436	0.0	0.385	0.0	0.132	0.184	0.0	0.132	0.0
CPI-SS0F8ABC300	GALR2_GAL	simple:O43603	simple:P22466	GALR2	GAL	True	True	False	guidetopharmacology.org	False	0.001	0.053	0.0	0.002	0.0	0.002	0.053	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.054	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0B84DAE3D	PVR_CD96	simple:P15151	simple:P40200	PVR	CD96	True	True	True	curated	False	0.043	0.002	0.0	0.004	0.006	0.087	0.046	0.0	0.047	0.05	0.047	0.006	0.0	0.007	0.01	0.042	0.001	0.0	0.003	0.005	0.058	0.017	0.0	0.018	0.021
CPI-SS0A8627ED6	PVR_CD226	simple:P15151	simple:Q15762	PVR	CD226	True	True	True	curated	False	0.009	0.0	0.007	0.004	0.0	0.053	0.0	0.051	0.048	0.0	0.013	0.0	0.01	0.008	0.0	0.008	0.0	0.006	0.003	0.0	0.024	0.0	0.022	0.019	0.0
CPI-SS00561BBD7	PVR_TIGIT	simple:P15151	simple:Q495A1	PVR	TIGIT	True	True	False	curated	False	0.124	0.006	0.0	0.007	0.0	0.168	0.05	0.0	0.05	0.0	0.128	0.01	0.0	0.01	0.0	0.123	0.006	0.0	0.006	0.0	0.139	0.021	0.0	0.021	0.0
CPI-SS09C06644C	CADM3_CADM1	simple:Q8N126	simple:Q9BY67	CADM3	CADM1	False	False	False	curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023	0.034	0.026	0.473	0.068
CPI-SS0889E281D	CADM1_CADM1	simple:Q9BY67	simple:Q9BY67	CADM1	CADM1	False	False	False	curated	False	0.004	0.015	0.007	0.454	0.049	0.015	0.026	0.018	0.465	0.06	0.007	0.018	0.009	0.457	0.052	0.454	0.465	0.457	0.904	0.499	0.049	0.06	0.052	0.499	0.095
CPI-SS0C9696AAA	CRTAM_CADM1	simple:O95727	simple:Q9BY67	CRTAM	CADM1	False	False	False	curated	False	0.008	0.019	0.011	0.458	0.053	0.003	0.014	0.006	0.453	0.048	0.005	0.017	0.008	0.455	0.051	0.004	0.015	0.007	0.454	0.049	0.0	0.0	0.0	0.0	0.0
