gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Plasma	WNT2B+ Fos-hi	CD4+ Memory	Macrophages	Enterocytes
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS0E1BF543E	0.007	0.04	0.0	0.013	0.022
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS0C16967C6	0.007	0.04	0.0	0.013	0.022
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS0AEE2FB22	0.007	0.04	0.0	0.013	0.022
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS0EC80CA59	0.003	0.0	0.0	0.0	0.022
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS0FFBA02F8	0.003	0.0	0.0	0.0	0.022
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS0CE2A204A	0.003	0.0	0.0	0.0	0.022
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS0FCC00896	0.005	0.005	0.0	0.004	0.007
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS02AEFFE28	0.005	0.005	0.0	0.004	0.007
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS0860DA460	0.005	0.005	0.0	0.004	0.007
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-CS0E1BF543E	0.007	0.04	0.0	0.013	0.022
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-CS0C16967C6	0.007	0.04	0.0	0.013	0.022
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-CS0AEE2FB22	0.007	0.04	0.0	0.013	0.022
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS046BCFC6F	0.004	0.04	0.0	0.0	0.022
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0F6CFB979	0.004	0.04	0.0	0.0	0.022
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS090FFEDFE	0.004	0.04	0.0	0.0	0.022
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0E4E75E3B	0.004	0.04	0.0	0.0	0.022
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0E54FF657	0.004	0.04	0.0	0.0	0.022
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A receptor	CPI-CS0EC80CA59	0.003	0.0	0.0	0.0	0.022
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A receptor	CPI-CS0FFBA02F8	0.003	0.0	0.0	0.0	0.022
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A receptor	CPI-CS0CE2A204A	0.003	0.0	0.0	0.0	0.022
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A receptor	CPI-CS04F78ACD6	0.003	0.0	0.0	0.0	0.036
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A receptor	CPI-CS0C8F1E01F	0.003	0.0	0.0	0.0	0.036
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS047EE9E03	0.003	0.0	0.0	0.0	0.022
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS0247DA882	0.003	0.0	0.0	0.0	0.022
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS0C091F24B	0.003	0.0	0.0	0.0	0.022
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS075442484	0.003	0.0	0.0	0.0	0.022
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS012D15A88	0.003	0.0	0.0	0.0	0.022
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B receptor	CPI-CS0FCC00896	0.005	0.005	0.0	0.004	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B receptor	CPI-CS02AEFFE28	0.005	0.005	0.0	0.004	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B receptor	CPI-CS0860DA460	0.005	0.005	0.0	0.004	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B receptor	CPI-CS0384572FE	0.003	0.005	0.0	0.004	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS0CA393CC5	0.004	0.005	0.0	0.0	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS076E1A639	0.004	0.005	0.0	0.0	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS017A50010	0.004	0.005	0.0	0.0	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS0BE59B43E	0.004	0.005	0.0	0.0	0.007
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS0BCDC40FC	0.004	0.005	0.0	0.0	0.007
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2A receptor	CPI-CS04F78ACD6	0.003	0.0	0.0	0.0	0.036
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2A receptor	CPI-CS0C8F1E01F	0.003	0.0	0.0	0.0	0.036
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B receptor	CPI-CS0384572FE	0.003	0.005	0.0	0.004	0.007
BMPR1A	P36894	True	BMR1A_HUMAN	BMPR1A_BMPR2	CPI-CS046BCFC6F	0.004	0.04	0.0	0.0	0.022
BMPR1A	P36894	True	BMR1A_HUMAN	BMPR1A_BMPR2	CPI-CS0F6CFB979	0.004	0.04	0.0	0.0	0.022
BMPR1A	P36894	True	BMR1A_HUMAN	BMPR1A_BMPR2	CPI-CS090FFEDFE	0.004	0.04	0.0	0.0	0.022
BMPR1A	P36894	True	BMR1A_HUMAN	BMPR1A_BMPR2	CPI-CS0E4E75E3B	0.004	0.04	0.0	0.0	0.022
BMPR1A	P36894	True	BMR1A_HUMAN	BMPR1A_BMPR2	CPI-CS0E54FF657	0.004	0.04	0.0	0.0	0.022
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_ACR2A	CPI-CS047EE9E03	0.003	0.0	0.0	0.0	0.022
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_ACR2A	CPI-CS0247DA882	0.003	0.0	0.0	0.0	0.022
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_ACR2A	CPI-CS0C091F24B	0.003	0.0	0.0	0.0	0.022
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_ACR2A	CPI-CS075442484	0.003	0.0	0.0	0.0	0.022
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_ACR2A	CPI-CS012D15A88	0.003	0.0	0.0	0.0	0.022
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_AVR2B	CPI-CS0CA393CC5	0.004	0.005	0.0	0.0	0.007
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_AVR2B	CPI-CS076E1A639	0.004	0.005	0.0	0.0	0.007
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_AVR2B	CPI-CS017A50010	0.004	0.005	0.0	0.0	0.007
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_AVR2B	CPI-CS0BE59B43E	0.004	0.005	0.0	0.0	0.007
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_AVR2B	CPI-CS0BCDC40FC	0.004	0.005	0.0	0.0	0.007
CD8A	P01732	True	CD8A_HUMAN	CD8 receptor	CPI-CS0A66DB1CA	0.003	0.005	0.039	0.0	0.0
CD8B	P10966	True	CD8B_HUMAN	CD8 receptor	CPI-CS0A66DB1CA	0.003	0.005	0.039	0.0	0.0
KLRD1	Q13241	True	KLRD1_HUMAN	CD94:NKG2A	CPI-CS0715DE78D	0.0	0.0	0.011	0.0	0.0
KLRC1	P26715	True	NKG2A_HUMAN	CD94:NKG2A	CPI-CS0715DE78D	0.0	0.0	0.011	0.0	0.0
CNTFR	P26992	True	CNTFR_HUMAN	CNTF-1R	CPI-CS0EB5F7B6F	0.0	0.005	0.0	0.0	0.0
LIFR	P42702	True	LIFR_HUMAN	CNTF-1R	CPI-CS0EB5F7B6F	0.0	0.005	0.0	0.0	0.0
LIFR	P42702	True	LIFR_HUMAN	LIFR	CPI-CS0E661878B	0.001	0.104	0.0	0.004	0.0
IL6ST	P40189	True	IL6RB_HUMAN	CNTF-1R	CPI-CS0EB5F7B6F	0.0	0.005	0.0	0.0	0.0
IL6ST	P40189	True	IL6RB_HUMAN	IL6 receptor	CPI-CS063AE1C91	0.031	0.01	0.018	0.027	0.018
IL6ST	P40189	True	IL6RB_HUMAN	LIFR	CPI-CS0E661878B	0.001	0.104	0.0	0.004	0.0
IL6ST	P40189	True	IL6RB_HUMAN	OSMR	CPI-CS06D50EBF8	0.001	0.075	0.0	0.0	0.0
FLT1	P17948	True	VGFR1_HUMAN	FLT1 complex	CPI-CS067298D94	0.0	0.0	0.0	0.0	0.0
FLT1	P17948	True	VGFR1_HUMAN	FLT1 complex	CPI-CS073D36B1D	0.0	0.0	0.0	0.0	0.0
FLT1	P17948	True	VGFR1_HUMAN	FLT1 complex	CPI-CS077F1340A	0.0	0.0	0.0	0.0	0.0
KDR	P35968	True	VGFR2_HUMAN	FLT1 complex	CPI-CS067298D94	0.0	0.0	0.0	0.0	0.0
KDR	P35968	True	VGFR2_HUMAN	FLT1 complex	CPI-CS073D36B1D	0.0	0.0	0.0	0.0	0.0
KDR	P35968	True	VGFR2_HUMAN	FLT1 complex	CPI-CS077F1340A	0.0	0.0	0.0	0.0	0.0
KDR	P35968	True	VGFR2_HUMAN	PlexinA1_complex1	CPI-CS0C57A3081	0.0	0.0	0.0	0.0	0.0
CSF2RB	P32927	True	IL3RB_HUMAN	GMCSFR	CPI-CS0210859AB	0.002	0.005	0.0	0.027	0.0
CSF2RA	P15509	True	CSF2R_HUMAN	GMCSFR	CPI-CS0210859AB	0.002	0.005	0.0	0.027	0.0
IL1R1	P14778	True	IL1R1_HUMAN	IL1 receptor	CPI-CS05426BFFA	0.003	0.0	0.0	0.004	0.0
IL1R1	P14778	True	IL1R1_HUMAN	IL1 receptor	CPI-CS0DEBE7B69	0.003	0.0	0.0	0.004	0.0
IL1RAP	Q9NPH3	True	IL1AP_HUMAN	IL1 receptor	CPI-CS05426BFFA	0.003	0.0	0.0	0.004	0.0
IL1RAP	Q9NPH3	True	IL1AP_HUMAN	IL1 receptor	CPI-CS0DEBE7B69	0.003	0.0	0.0	0.004	0.0
IL1RAP	Q9NPH3	True	IL1AP_HUMAN	IL1 receptor inhibitor	CPI-CS008C9D6E5	0.001	0.0	0.0	0.009	0.0
IL1RAP	Q9NPH3	True	IL1AP_HUMAN	IL1 receptor inhibitor	CPI-CS085E95BC1	0.001	0.0	0.0	0.009	0.0
IL1R2	P27930	True	IL1R2_HUMAN	IL1 receptor inhibitor	CPI-CS008C9D6E5	0.001	0.0	0.0	0.009	0.0
IL1R2	P27930	True	IL1R2_HUMAN	IL1 receptor inhibitor	CPI-CS085E95BC1	0.001	0.0	0.0	0.009	0.0
IL10RA	Q13651	True	I10R1_HUMAN	IL10 receptor	CPI-CS04CBDE052	0.091	0.0	0.053	0.151	0.0
IL10RB	Q08334	True	I10R2_HUMAN	IL10 receptor	CPI-CS04CBDE052	0.091	0.0	0.053	0.151	0.0
IL10RB	Q08334	True	I10R2_HUMAN	IL22 receptor	CPI-CS0A8A0A053	0.0	0.0	0.0	0.004	0.335
IL13RA1	P78552	True	I13R1_HUMAN	IL13 receptor	CPI-CS0EE8AEA34	0.004	0.015	0.0	0.049	0.299
IL4R	P24394	True	IL4RA_HUMAN	IL13 receptor	CPI-CS0EE8AEA34	0.004	0.015	0.0	0.049	0.299
IL2RB	P14784	True	IL2RB_HUMAN	IL15 receptor	CPI-CS06E556972	0.004	0.0	0.039	0.0	0.0
IL2RB	P14784	True	IL2RB_HUMAN	IL2 receptor_HA	CPI-CS0D48BE017	0.001	0.0	0.007	0.0	0.0
IL2RB	P14784	True	IL2RB_HUMAN	IL2 receptor_I	CPI-CS0A34112A6	0.004	0.0	0.039	0.0	0.0
IL2RG	P31785	True	IL2RG_HUMAN	IL15 receptor	CPI-CS06E556972	0.004	0.0	0.039	0.0	0.0
IL2RG	P31785	True	IL2RG_HUMAN	IL2 receptor_HA	CPI-CS0D48BE017	0.001	0.0	0.007	0.0	0.0
IL2RG	P31785	True	IL2RG_HUMAN	IL2 receptor_I	CPI-CS0A34112A6	0.004	0.0	0.039	0.0	0.0
IL2RG	P31785	True	IL2RG_HUMAN	IL7 receptor	CPI-CS0AB9C7139	0.005	0.005	0.287	0.013	0.0
IL17RA	Q96F46	True	I17RA_HUMAN	IL17 receptor AC	CPI-CS04F158618	0.008	0.035	0.0	0.027	0.09
IL17RA	Q96F46	True	I17RA_HUMAN	IL17 receptor AE	CPI-CS0BA342294	0.001	0.025	0.004	0.018	0.108
IL17RC	Q8NAC3	True	I17RC_HUMAN	IL17 receptor AC	CPI-CS04F158618	0.008	0.035	0.0	0.027	0.09
IL17RE	Q8NFR9	True	I17RE_HUMAN	IL17 receptor AE	CPI-CS0BA342294	0.001	0.025	0.004	0.018	0.108
IL18	Q14116	True	IL18_HUMAN	IL18 receptor	CPI-CS09831CCFD	0.0	0.0	0.0	0.0	0.0
IL18R1	Q13478	True	IL18R_HUMAN	IL18 receptor	CPI-CS09831CCFD	0.0	0.0	0.0	0.0	0.0
IL18RAP	O95256	True	I18RA_HUMAN	IL18 receptor	CPI-CS09831CCFD	0.0	0.0	0.0	0.0	0.0
IL2RA	P01589	True	IL2RA_HUMAN	IL2 receptor_HA	CPI-CS0D48BE017	0.001	0.0	0.007	0.0	0.0
IL22RA1	Q8N6P7	True	I22R1_HUMAN	IL22 receptor	CPI-CS0A8A0A053	0.0	0.0	0.0	0.004	0.335
EBI3	Q14213	True	IL27B_HUMAN	IL27	CPI-CC09BCDA08E	0.0	0.0	0.0	0.009	0.0
EBI3	Q14213	True	IL27B_HUMAN	IL35	CPI-CC0C3ECBD1F	0.002	0.0	0.0	0.0	0.0
IL27	Q8NEV9	True	IL27A_HUMAN	IL27	CPI-CC09BCDA08E	0.0	0.0	0.0	0.009	0.0
IL12A	P29459	True	IL12A_HUMAN	IL35	CPI-CC0C3ECBD1F	0.002	0.0	0.0	0.0	0.0
IL6R	P08887	True	IL6RA_HUMAN	IL6 receptor	CPI-CS063AE1C91	0.031	0.01	0.018	0.027	0.018
IL7R	P16871	True	IL7RA_HUMAN	IL7 receptor	CPI-CS0AB9C7139	0.005	0.005	0.287	0.013	0.0
OSMR	Q99650	True	OSMR_HUMAN	OSMR	CPI-CS06D50EBF8	0.001	0.075	0.0	0.0	0.0
PDGFRA	P16234	True	PGFRA_HUMAN	PDGFR complex	CPI-CS0BAF97962	0.001	0.104	0.0	0.0	0.0
PDGFRB	P09619	True	PGFRB_HUMAN	PDGFR complex	CPI-CS0BAF97962	0.001	0.104	0.0	0.0	0.0
PLXNA1	Q9UIW2	True	PLXA1_HUMAN	PlexinA1_complex1	CPI-CS0C57A3081	0.0	0.0	0.0	0.0	0.0
PLXNA1	Q9UIW2	True	PLXA1_HUMAN	PlexinA1_complex2	CPI-CS0123BC66C	0.001	0.0	0.0	0.018	0.0
TREM2	Q9NZC2	True	TREM2_HUMAN	PlexinA1_complex2	CPI-CS0123BC66C	0.001	0.0	0.0	0.018	0.0
TYROBP	O43914	True	TYOBP_HUMAN	PlexinA1_complex2	CPI-CS0123BC66C	0.001	0.0	0.0	0.018	0.0
HLA-DPA1	HLADPA1	False	HLADPA1		CPI-SS028784FC6	0.465	0.637	0.082	24.658	0.004
PVR	P15151	False	PVR_HUMAN		CPI-SS00A8596B5	0.001	0.045	0.0	0.013	0.022
HLA-DPA1	HLADPA1	False	HLADPA1		CPI-SS072B19293	0.465	0.637	0.082	24.658	0.004
GALR2	O43603	False	GALR2_HUMAN		CPI-SS0F8ABC300	0.002	0.0	0.0	0.027	0.0
PVR	P15151	False	PVR_HUMAN		CPI-SS0B84DAE3D	0.001	0.045	0.0	0.013	0.022
PVR	P15151	False	PVR_HUMAN		CPI-SS0A8627ED6	0.001	0.045	0.0	0.013	0.022
PVR	P15151	False	PVR_HUMAN		CPI-SS00561BBD7	0.001	0.045	0.0	0.013	0.022
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS09C06644C	0.0	0.06	0.0	0.0	0.0
